50101 - Cargill B.V.,50101,Cargill B.V.,24729,socoopa,Cote d'Ivoire,11/26/2025,576,278,842,140,14260,14208,,1072,,28,28,,,7,1,6,0
50101 - Cargill B.V.,50101,Cargill B.V.,24730,socopa,Cote d'Ivoire,11/26/2025,2537,1974,3711,1346,219352,218470,,12,,31,31,,,15,1,12,0
50101 - Cargill B.V.,50101,Cargill B.V.,24731,souhontakako,Cote d'Ivoire,11/26/2025,,331,16,315,0,0,,,,28,28,,,,,,0
50101 - Cargill B.V.,50101,Cargill B.V.,24732,ucodel,Cote d'Ivoire,11/26/2025,3428,1109,4723,409,67679,65740,,,,31,31,,,74,14,58,0
50101 - Cargill B.V.,50101,Cargill B.V.,24733,yeyobie,Cote d'Ivoire,11/26/2025,,831,541,341,0,0,,1502,,28,28,,,,,,0
50101 - Cargill B.V.,50101,Cargill B.V.,24761,agbs,Cote d'Ivoire,11/26/2025,1426,1761,2578,568,112490,111696,,801,,30,30,,,20,14,22,0
50101 - Cargill B.V.,50101,Cargill B.V.,24762,cabend,Cote d'Ivoire,11/26/2025,2137,581,2206,535,57954,57694,,,,31,31,,,24,8,24,1
50101 - Cargill B.V.,50101,Cargill B.V.,24763,coopaadi,Cote d'Ivoire,11/26/2025,367,254,483,176,43724,43281,,1211,,31,31,,,9,2,8,0
50101 - Cargill B.V.,50101,Cargill B.V.,24764,socodag,Cote d'Ivoire,11/26/2025,1047,361,1123,412,109939,109462,,3628,,29,29,,,14,0,15,0
50101 - Cargill B.V.,50101,Cargill B.V.,24772,agrel,Cote d'Ivoire,11/26/2025,616,167,647,189,63984,63278,,1811,,41,41,,,12,3,9,0
50101 - Cargill B.V.,50101,Cargill B.V.,24773,socanc,Cote d'Ivoire,11/26/2025,303,337,578,106,55440,55110,,1953,,30,30,,,7,1,7,0
50101 - Cargill B.V.,50101,Cargill B.V.,24774,kako,Cote d'Ivoire,11/26/2025,403,90,562,17,49731,49669,,1006,,29,29,,,8,2,5,0
50101 - Cargill B.V.,50101,Cargill B.V.,24775,coopyma,Cote d'Ivoire,11/26/2025,657,500,1021,335,66124,65482,,1070,,33,33,,,7,3,6,0
50101 - Cargill B.V.,50101,Cargill B.V.,24776,kgs,Cote d'Ivoire,11/26/2025,1056,258,1320,137,151381,147745,,1517,,33,33,,,10,4,8,0
50101 - Cargill B.V.,50101,Cargill B.V.,24777,socoopagos,Cote d'Ivoire,11/26/2025,1236,1025,2115,379,16211,16210,,,,31,31,,,10,2,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24784,benkadi,Cote d'Ivoire,11/26/2025,818,434,1229,227,102676,101918,,3297,,31,31,,,14,3,14,0
